name,region,province
Bamanzi Junior Primary School,Matatiele,Eastern Cape
Bambanani Junior Primary School,Mthatha,Eastern Cape
Bambilanga Junior Secondary School,Mthatha,Eastern Cape
Bambilanga Senior Secondary School,Flagstaff,Eastern Cape
Bamboespruit Junior Secondary School,Sterkspruit,Eastern Cape
Bangilizwe Junior Secondary School,Cofimvaba,Eastern Cape
Bangiso Junior Secondary School,Idutywa,Eastern Cape
Bangweni Junior Secondary School,Idutywa,Eastern Cape
Bankies Junior Secondary School,Queenstown,Eastern Cape
Bantini Junior Secondary School,Ngqeleni,Eastern Cape
Bantwanana Junior Secondary School,Mqanduli,Eastern Cape
Banzi Primary School,Debenek,Eastern Cape
Baphathe Senior Primary School,Mount Frere,Eastern Cape
Barkerville Junior Secondary School,Mount Frere,Eastern Cape
Barkly East (D R C) Primary School,Barkly East,Eastern Cape
Baroda D R C Primary School,Cradock,Eastern Cape
Bashee Compreshensive High School,Idutywa,Eastern Cape
Bashee Pjs School,Engcobo,Eastern Cape
Bathandwa Ndondo Senior Secondary School,Cala,Eastern Cape
Bathurst Primary School,Bathurst,Eastern Cape
Batlokoa Junior Secondary School,Mount Fletcher,Eastern Cape
Bavuma Junior Secondary School,Qumbu,Eastern Cape
Bavumele Junior Secondary School,Mqanduli,Eastern Cape
Bavumeleni Junior Secondary School,Stcuthberts,Eastern Cape
Bavumile Junior Primary School,Matatiele,Eastern Cape
Bawa Junior Secondary School,Butterworth,Eastern Cape
Bawana Senior Primary School,Willowvale,Eastern Cape
Bawokuhle Primary School,King Williams Town,Eastern Cape
Bay Christian School,Port Elizabeth,Eastern Cape
Bayview Primary School,Gelvandale,Eastern Cape
Bazindlovu Junior Secondary School,Cofimvaba,Eastern Cape
Bazindlovu Pjs School,Engcobo,Eastern Cape
Bazindlovu Senior Secondary School,Mqanduli,Eastern Cape
Baziya Junior Secondary School,Mthatha,Eastern Cape
Beaconhurst School,East London,Eastern Cape
Bebeza Senior Primary School,Sterkspruit,Eastern Cape
Bebule Primary School,King Williams Town,Eastern Cape
Bedford Primary School,Bedford,Eastern Cape
Beechamwood Junior Secondary School,Willowvale,Eastern Cape
Bekabantu Junior Secondary School,Flagstaff,Eastern Cape
Bekameva Junior Secondary School,Bizana,Eastern Cape
Bekela Junior Secondary School,Port Edward,Eastern Cape
Bekileni Junior Secondary School,Engcobo,Eastern Cape
Bekinkosi Junior Secondary School,Kentani,Eastern Cape
Bekisizwe Junior Primary School,Mount Frere,Eastern Cape
Bekizulu Senior Primary School,Idutywa,Eastern Cape
Bekizulu Senior Secondary School,Engcobo,Eastern Cape
Bele Junior Secondary School,Tsolo,Eastern Cape
Belekence Junior Secondary School,Qumbu,Eastern Cape
Beleni Junior Secondary School,Ndabakazi,Eastern Cape
Bele-Zingcuka Tech Senior Secondary School,Tsolo,Eastern Cape
Belfort Junior Primary School,Matatiele,Eastern Cape
Belgravia Art Centre,East London,Eastern Cape
Belmont Farm School,Bedford,Eastern Cape
Belmore Senior Primary School,Barkly East,Eastern Cape
Belvedere Farm School,Bedford,Eastern Cape
Ben Mali Senior Secondary School,Lusikisiki,Eastern Cape
Ben Nyati Public Primary School,Kwazakhele,Eastern Cape
Ben Sinuka Primary School,Port Elizabeth,Eastern Cape
Benai Silinga Senior Primary School,Butterworth,Eastern Cape
Bengu Agricultural High School,Lady Frere,Eastern Cape
Bengu Junior Secondary School,Cofimvaba,Eastern Cape
Bensile Pjs School,Mthatha,Eastern Cape
Bensonvale Junior Secondary School,Sterkspruit,Eastern Cape
Bergstroom Farm School,Dordrecht,Eastern Cape
Bergview Jp,Matatiele,Eastern Cape
Berlin Primary School,East London,Eastern Cape
Bertram Secondary School,Port Elizabeth,Eastern Cape
Bet-El,Port Elizabeth,Eastern Cape
Bethania Junior Secondary School,Mount Fletcher,Eastern Cape
Bethania Senior Secondary School,Mount Fletcher,Eastern Cape
Bethany Junior Secondary School,Mount Frere,Eastern Cape
Bethel College,Butterworth,Eastern Cape
Bethel Junior Secondary School,Mount Frere,Eastern Cape
Bethelsdorp Comprehensive School,Saltville,Eastern Cape
Bethelsdorp Road Primary School,Saltville,Eastern Cape
Bethesda Junior Secondary School,Matatiele,Eastern Cape
Bethlehem Senior Primary School,Mount Frere,Eastern Cape
Bethvale Primary School,Port Elizabeth,Eastern Cape
Betshwana Junior Secondary School,Mount Frere,Eastern Cape
Beulah Ngk Primary School,Steytlerville,Eastern Cape
Beyele Pjs School,Engcobo,Eastern Cape
Bhaliti Junior Primary School,King Williams Town,Eastern Cape
Bhayi Senior Primary School,Mount Frere,Eastern Cape
Bhekameva Junior Primary School,Tsolo,Eastern Cape
Bhekokuhle Primary School,King Williams Town,Eastern Cape
Bhele Public School,King Williams Town,Eastern Cape
Bholani Jps,Lusikiski,Eastern Cape
Bhongolethu Junior Secondary School,Sterksruit,Eastern Cape
Bhongolethu Secondary School,East London,Eastern Cape
Bhongwelihle Junior Primary School,Middledrift,Eastern Cape
Bhongweni Public Farm School,Alexandria,Eastern Cape
Bikana Junior Secondary School,Idutywa,Eastern Cape
Bikitsha Junior Secondary School,Lusikisiki,Eastern Cape
Bikizana Junior Secondary School,Sterkspruit,Eastern Cape
Bilatye Junior Secondary School,Cofimvaba,Eastern Cape
Bill Ganto Junior Primary School,Alice,Eastern Cape
Binfield Park Primary School,Alice,Eastern Cape
Bingqala Public Primary School,Peddie,Eastern Cape
Biothatelo Senior Primary School,Mount Fletcher,Eastern Cape
Bisana Junior Secondary School,Flagstaff,Eastern Cape
Bisho H School,King Williams Town,Eastern Cape
Bisho Primary School,King Williams Town,Eastern Cape
Bishop Demont Senior Secondary School,Aliwal North,Eastern Cape
Bisi Junior Secondary School,Flagstaff,Eastern Cape
Bityi Junior Secondary School,Nthatha,Eastern Cape
Biyana Junior Secondary School,Nqamakwe,Eastern Cape
Bizana Junior Secondary School,Port St Johns,Eastern Cape
Bizana Village Senior Secondary School,Bizana,Eastern Cape
Bizokhulu Primary School,King Williams Town,Eastern Cape
Black Diamond Junior Secondary School,Bizana,Eastern Cape
Blair Helen Primary School,King Williams Town,Eastern Cape
Bless Farm School,Elliotdale,Eastern Cape
Blikana Senior Secondary School,Sterkspruit,Eastern Cape
Bloemhof Primary School,Graaff-Reinet,Eastern Cape
Blorweni Junior Secondary School,Tabankulu,Eastern Cape
Bluelilies Bush Public Primary School,Humansdorp,Eastern Cape
Blue-Sky Junior Secondary School,Butterworth,Eastern Cape
Bluewater Bay Primary School,Bluewater Bay,Eastern Cape
Bly Ngcongolo Junior Primary School,Tsomo,Eastern Cape
Blythswood High School,Nqamakwe,Eastern Cape
Blythswood Junior Secondary School,Nqamakwe,Eastern Cape
Bodiam Primary School,Peddie,Eastern Cape
Bodker Public School,Hankey,Eastern Cape
Bodweni Junior Secondary School,Flagstaff,Eastern Cape
Bodweni Senior Secondary School,Lusikisiki,Eastern Cape
Bojane Junior Secondary School,Engcobo,Eastern Cape
Bojeni Junior Secondary School,Willowvale,Eastern Cape
Bokuveni Junior Secondary School,Flagstaff,Eastern Cape
Bolana Junior Secondary School,Cofimvaba,Eastern Cape
Boleni Junior Secondary School,Engcobo,Eastern Cape
Bolo Farm School,Sttutterheim,Eastern Cape
Bolotwa Junior Secondary School,Ngqeleni,Eastern Cape
