name,region,province
Mbokotwana Junior Secondary School,Tsolo,Eastern Cape
Mbokotwana Senior Primary School,Engcobo,Eastern Cape
Mbolekwa Senior Primary School,Sterkspruit,Eastern Cape
Mboleni Pjs School,Engcobo,Eastern Cape
Mbolompeni Junior Primary School,East London,Eastern Cape
Mbolompo Comprehensive School,Mthatha,Eastern Cape
Mbombo Junior Secondary School,Mount Frere,Eastern Cape
Mbombo Primary School,King Williams Town,Eastern Cape
Mbonda Junior Secondary School,Mount Frere,Eastern Cape
Mbongendlu Junior Secondary School,Butterworth,Eastern Cape
Mbongweni Junior Secondary School,Mount Ayliff,Eastern Cape
Mboniselo Public School,Swartkops,Eastern Cape
Mbonisweni Junior Primary School,Sterkspruit,Eastern Cape
Mbonisweni Junior Secondary School,Maclear,Eastern Cape
Mbono Junior Secondary School,Holycross,Eastern Cape
Mbotyi Senior Primary School,Lusikisiki,Eastern Cape
Mbovane Junior Primary School,Alicedale,Eastern Cape
Mbovane Senior Primary School,Qumbu,Eastern Cape
Mboya Junior Secondary School,Willowvale,Eastern Cape
Mbozi Junior Secondary School,Willowvale,Eastern Cape
Mbozisa Junior Secondary School,Mthatha,Eastern Cape
Mbozwana Junior Secondary School,Mthatha,Eastern Cape
Mbozwana Senior Primary School,Tsolo,Eastern Cape
Mbudlu Junior Secondary School,Cofimvaba,Eastern Cape
Mbulelo Benekane Secondary School,King Williams Town,Eastern Cape
Mbulelo Public School,Duncan,Eastern Cape
Mbulu Junior Secondary School,Tsomo,Eastern Cape
Mbulukweza Junior Secondary School,Willowvale,Eastern Cape
Mbumbazi Junior Secondary School,Mount Ayliff,Eastern Cape
Mbungwa Junior Secondary School,Bizana,Eastern Cape
Mbuqe Extension Senior Primary School,Mthatha,Eastern Cape
Mbuqe Junior Secondary School,Mthatha,Eastern Cape
Mbutye Senior Primary School,Elliotdale,Eastern Cape
Mccarthy Comprehensive School,Uitenhage,Eastern Cape
Mcelu Junior Secondary School,Flagstaff,Eastern Cape
Mcelwane Senior Primary School,Elliotdale,Eastern Cape
Mceteni Senior Primary School,Palmerton,Eastern Cape
Mceula Junior Secondary School,Cala,Eastern Cape
Mceula Primary School,Whittlesea,Eastern Cape
Mceula Senior Secondary School,Cala,Eastern Cape
Mchatu Junior Secondary School,Tsolo,Eastern Cape
Mcheni Junior Primary School,Tsolo,Eastern Cape
Mchetyana Primary School,Mount Frere,Eastern Cape
Mcitwa Senior Primary School,Idutywa,Eastern Cape
Mckaysnek Junior Secondary School,Komani,Eastern Cape
Mcobololo Senior Secondary School,Engcobo,Eastern Cape
Mconco Junior Secondary School,Libode,Eastern Cape
Mcotama Junior Secondary School,Nyandeni,Eastern Cape
Mcubhana Junior Secondary School,Mount Ayliff,Eastern Cape
Mcumngco Junior Secondary School,Cofimvaba,Eastern Cape
Mcutu Pjs School,Engcobo,Eastern Cape
Mcwakumbana Junior Secondary School,Tsolo,Eastern Cape
Mcwangele Junior Secondary School,Bizana,Eastern Cape
Mdabuka Junior Secondary School,Lusikisiki,Eastern Cape
Mdabuka Senior Primary School,Elliotdale,Eastern Cape
Mdabukweni Junior Secondary School,Qumbu,Eastern Cape
Mdakeni Junior Secondary School,Mount Frere,Eastern Cape
Mdanjelwa Senior Primary School,Engcobo,Eastern Cape
Mdantsane Junior Primary School,Mdantsane,Eastern Cape
Mdatya Junior Primary School,Bizana,Eastern Cape
Mdatya Senior Secondary School,Bizana,Eastern Cape
Mdavuza Senior Primary School,Libode,Eastern Cape
Mdedeleni Junior Secondary School,Mqanduli,Eastern Cape
Mdedelwa Pjs School,Qumbu,Eastern Cape
Mdelwa Junior Secondary School,Bizana,Eastern Cape
Mdengentonga Primary School,Debenek,Eastern Cape
Mdeni Junior Primary School,Libode,Eastern Cape
Mdeni Junior Secondary School,Cedarville,Eastern Cape
Mdeni Primary School,Fort Beaufort,Eastern Cape
Mdeni Senior Primary School,Mount Fletcher,Eastern Cape
Mdeni Senior Secondary School,Cofimvaba,Eastern Cape
Mdibaniso Junior Secondary School,Cofimvaba,Eastern Cape
Mdikane Junior Secondary School,Libode,Eastern Cape
Mdikiso Senior Primary School,Bizana,Eastern Cape
Mdina Pjs School,Libode,Eastern Cape
Mdingi Junior Secondary School,Lusikisiki,Eastern Cape
Mdisa Primary School,King Williams Town,Eastern Cape
Mditshwa Senior Secondary School,Umtata,Eastern Cape
Mdizeni Primary School,Middledrift,Eastern Cape
Mdlankala Junior Secondary School,Lusikisiki,Eastern Cape
Mdlankomo Junior Secondary School,Libode,Eastern Cape
Mdlokovana Junior Secondary School,Sterkspruit,Eastern Cape
Mdolomba Primary School,King Williams Town,Eastern Cape
Mdumazulu Junior Secondary School,Nyandeni,Eastern Cape
Mdumiseni Primary School,Alicedale,Eastern Cape
Mdunyiswa Senior Primary School,Willowvale,Eastern Cape
Mdutshane Senior Secondary School,Flagstaff,Eastern Cape
Mechachaneng Senior Primary School,Matatiele,Eastern Cape
Mechaeling Junior Secondary School,Matatiele,Eastern Cape
Mehloloaneng Junior Secondary School,Matatiele,Eastern Cape
Mehlomakulu Senior Secondary School,Sterkspruit,Eastern Cape
Meje Junior Secondary School,Bizana,Eastern Cape
Meji Senior Primary School,Mthatha,Eastern Cape
Melani Primary School,Alicedale,Eastern Cape
Melibuwa Senior Primary School,Elliotdale,Eastern Cape
Melisizwe Junior Primary School,Mount Frere,Eastern Cape
Melisizwe Public Primary School,Swartkops,Eastern Cape
Melitafa Junior Secondary School,Cofimvaba,Eastern Cape
Melumzi Primary School,Uitenhage,Eastern Cape
Meme Senior Primary School,Willowvale,Eastern Cape
Memela Junior Primary School,Alicedale,Eastern Cape
Mendu Junior Secondary School,Willowvale,Eastern Cape
Mendwana Junior Primary School,Willowvale,Eastern Cape
Mente Junior Secondary School,Willowvale,Eastern Cape
Mente Senior Secondary School,Willowvale,Eastern Cape
Menziwa Senior Secondary School,Mthatha,Eastern Cape
Merrifield College,East London,Eastern Cape
Merrifield Preparatory School And College,East London,Eastern Cape
Metele Primary School,King Williams Town,Eastern Cape
Mevana Junior Secondary School,Idutywa,Eastern Cape
Mevana Pjs School,Port St Johns,Eastern Cape
Meyi Junior Secondary School,Sterkspruit,Eastern Cape
Meyisi Senior Secondary School,Flagstaff,Eastern Cape
Meyiwa Junior Secondary School,Lusikisiki,Eastern Cape
Mfabane Junior Secondary School,Libode,Eastern Cape
Mfabantu Junior Secondary School,Libode,Eastern Cape
Mfamzi Junior Secondary School,Willowvale,Eastern Cape
Mfazwe Comp Tech High School,Tabankulu,Eastern Cape
Mfesane Secondary School,Port Elizabeth,Eastern Cape
Mfezane Junior Secondary School,Idutywa,Eastern Cape
Mfezeko Senior Primary School,Idutywa,Eastern Cape
Mfiki Primary School,Middledrift,Eastern Cape
Mfinizweni Junior Secondary School,Lusikisiki,Eastern Cape
Mfunalwazi Public Primary School,East London,Eastern Cape
Mfundambini Junior Secondary School,Flagstaff,Eastern Cape
Mfundiso Senior Primary School,Ilitha,Eastern Cape
Mfundisweni Junior Secondary School,Lusikisiki,Eastern Cape
Mfundisweni Senior Secondary School,Lusikisiki,Eastern Cape
Mfundo Senior Primary School,East London,Eastern Cape
Mfundweni Junior Primary School,Ngqeleni,Eastern Cape
Mfuneli Junior Secondary School,Bizana,Eastern Cape
Mgano Junior Secondary School,Mount Ayliff,Eastern Cape
Mganu Junior Secondary School,Mount Frere,Eastern Cape
Mgcawezulu Junior Primary School,Willowvale,Eastern Cape
Mgcawezulu Pjs School,Cofimvaba,Eastern Cape
Mgcawezulu Senior Secondary School,Engcobo,Eastern Cape
Mgcotyelwa Junior Primary School,Libode,Eastern Cape
Mgcwe Junior Secondary School,Nqamakwe,Eastern Cape
Mgezwa Junior Secondary School,Lusikisiki,Eastern Cape
Mgezwa Senior Secondary School,Lusikisiki,Eastern Cape
Mgobozi Senior Primary School,Kentana,Eastern Cape
Mgodi Junior Secondary School,Mount Frere,Eastern Cape
Mgomanzi Junior Secondary School,Butterworth,Eastern Cape
Mgomanzi Primary School,Bizana,Eastern Cape
Mgomanzi Senior Secondary School,Butterworth,Eastern Cape
Mgqakwebe Primary School,King Williams Town,Eastern Cape
Mgqukwebe Junior Secondary School,Queenstown,Eastern Cape
Mgqumangwe Senior Primary School,Mount Frere,Eastern Cape
Mgudlwa Senior Secondary School,Engcobo,Eastern Cape
Mgudu Junior Secondary School,Engcobo,Eastern Cape
Mgungundlovu Junior Secondary School,Mount Frere,Eastern Cape
Mgwalana Primary School,Peddie,Eastern Cape
Mgwebi Junior Secondary School,Willowvale,Eastern Cape
Mgwede Junior Secondary School,Bizana,Eastern Cape
Mgwenyane Junior Secondary School,Tsomo,Eastern Cape
Mgwili Senior Primary School,Flagstaff,Eastern Cape
Mgxabakazi Junior Secondary School,Willowvale,Eastern Cape
Mgxobozweni Junior Secondary School,Tsomo,Eastern Cape
Mgxotyeni Primary School,King Williams Town,Eastern Cape
Mhala Junior Secondary School,Idutywa,Eastern Cape
Mhala Public School,East London,Eastern Cape
Mhlabathi Junior Secondary School,Tsolo,Eastern Cape
Mhlabeni Senior Primary School,Idutywa,Eastern Cape
Mhlabi Junior Secondary School,Bizana,Eastern Cape
Mhlabulungile Junior Primary School,Butterworth,Eastern Cape
Mhlabunzima Junior Secondary School,Mqanduli,Eastern Cape
Mhlabuvelile Senior Primary School,Bizana,Eastern Cape
Mhlabuzima Junior Secondary School,Mthatha,Eastern Cape
Mhlahlane Junior Secondary School,Willowvale,Eastern Cape
Mhlahlane Senior Primary School,Elliotdale,Eastern Cape
Mhlakulo Junior Secondary School,Tsolo,Eastern Cape
Mhlakulo Senior Primary School,Mqanduli,Eastern Cape
Mhlambiso High School,Middledrift,Eastern Cape
Mhlana Senior Primary School,Elliotdale,Eastern Cape
Mhlanga Junior Secondary School,Holycross,Eastern Cape
Mhlangala Senior Primary School,Mount Frere,Eastern Cape
Mhlanganiso Primary School,Peddie,Eastern Cape
Mhlanganisweni Comm & Tech Senior Secondary School,Port St Johns,Eastern Cape
Mhleleni Junior Secondary School,Tabankulu,Eastern Cape
Mhlobo Junior Secondary School,Cofimvaba,Eastern Cape
Mhlohlozi Junior Secondary School,Idutywa,Eastern Cape
Mhlontlo Junior Secondary School,Mount Fletcher,Eastern Cape
Mhlontlo Senior Secondary School,Mount Fletcher,Eastern Cape
Mhlonyaneni Higher Primary School,Tabankulu,Eastern Cape
Mhlophekazi Junior Primary School,Lusikisiki,Eastern Cape
Mhlophekazi Junior Secondary School,Engcobo,Eastern Cape
Mhlophekazi Primary School,Enon,Eastern Cape
Mhlotshana H School,Whittlesea,Eastern Cape
Mhlotsheni Junior Secondary School,Mount Frere,Eastern Cape
Mhluta Junior Secondary School,Mount Frere,Eastern Cape
Mhluzini Junior Primary School,Mount Ayliff,Eastern Cape
Mhlwazi Junior Secondary School,Elliotdale,Eastern Cape
Mhuku Junior Secondary School,Idutywa,Eastern Cape
Michausdal Primary School,Cradock,Eastern Cape
Michausdal Secondary School,Cradock,Eastern Cape
Mida School,Idutywa,Eastern Cape
Middeland Secondary School,Middelburg,Eastern Cape
Middelburg H School,Middelburg,Eastern Cape
Middelpos Primary School,Dordrecht,Eastern Cape
Middle Gqogqora Junior Secondary School,Idutywa,Eastern Cape
Middle Qutsa Senior Primary School,Cofimvaba,Eastern Cape
Middle Tyira Junior Secondary School,Qumbu,Eastern Cape
Middle Zolo Senior Secondary School,Nqamakwe,Eastern Cape
Middlewater (Drc) Primary School,Middlewater,Eastern Cape
Middlewater P,Swartberg,Eastern Cape
Mika Junior Primary School,Matatiele,Eastern Cape
Milane Junior Secondary School,Qumbu,Eastern Cape
Miller (Ucc) Primary School,Willowmore,Eastern Cape
Miller Junior Secondary School,Elliotdale,Eastern Cape
Millholme Primary School,Adelaide,Eastern Cape
Milner Farm School,Dordrecht,Eastern Cape
Milton Dalasile Senior Secondary School,Mqanduli,Eastern Cape
Milton Mbekela Senior Secondary School,Mthatha,Eastern Cape
Mimosa Park Primary School,King Williams Town,Eastern Cape
Minah T Soga Senior Primary School,Queenstown,Eastern Cape
Mirrlees Junior Secondary School,Nqamakwe,Eastern Cape
Misgund (D R C ) Primary School,Misgund,Eastern Cape
Missionvale Ucc Primary School,Algoa Park,Eastern Cape
Mistkraal Rc Primary School,Kirkwood,Eastern Cape
Mizamo High School,East London,Eastern Cape
Mjaliswa Junior Secondary School,Libode,Eastern Cape
Mjanyelwa Junior Secondary School,Bizana,Eastern Cape
Mjelweni Junior Secondary School,Tabankulu,Eastern Cape
Mjikelweni Ps School,Qumbu,Eastern Cape
Mjikweni Junior Secondary School,Kokstad,Eastern Cape
Mjila'S Ridge Junior Secondary School,Tabankulu,Eastern Cape
Mjobeni Junior Secondary School,Mthatha,Eastern Cape
Mjobo Senior Primary School,Lusikisiki,Eastern Cape
Mjokana Senior Primary School,Matatiele,Eastern Cape
Mjoli Junior Secondary School,Mount Ayliff,Eastern Cape
Mjongile Senior Primary School,Ntlaza,Eastern Cape
Mjuleni Junior Primary School,Uitenhage,Eastern Cape
Mkambati Junior Primary School,Kokstad,Eastern Cape
Mkambati Senior Primary School,Lusikisiki,Eastern Cape
Mkambeni Senior Primary School,Qumbu,Eastern Cape
Mkamela Junior Secondary School,Flagstaff,Eastern Cape
Mkankato Junior Secondary School,Libode,Eastern Cape
Mkankomo Junior Secondary School,Flagstaff,Eastern Cape
Mkanzini Junior Secondary School,Port St Johns,Eastern Cape
Mkapusi Junior Secondary School,Ladyfrere,Eastern Cape
Mkapusi Senior Secondary School,Tbu,Eastern Cape
Mkatazo Junior Secondary School,Elliotdale,Eastern Cape
Mkatini Senior Primary School,Mthatha,Eastern Cape
Mketengeni Junior Secondary School,Holycross,Eastern Cape
Mkhitha Primary School,Queenstown,Eastern Cape
Mkhomanzi Junior Primary School,Kokstad,Eastern Cape
Mkhonqo Junior Secondary School,Mount Frere,Eastern Cape
Mkhuhlane-Kop Junior Secondary School,Matatiele,Eastern Cape
Mkhumbeni Junior Secondary School,Lusikisiki,Eastern Cape
Mkilwa Senior Primary School,Mount Frere,Eastern Cape
Mkiva Senior Primary School,Idutywa,Eastern Cape
Mkiwane Senior Primary School,Mount Frere,Eastern Cape
Mkomane Senior Secondary  School,Bizana,Eastern Cape
Mkonjana Junior Secondary School,Cofimvaba,Eastern Cape
Mkululi Pj School,Cofimvaba,Eastern Cape
Mkumbi Junior Secondary School,Flagstaff,Eastern Cape
Mkumeni Junior Primary School,Flagstaff,Eastern Cape
Mkundlu Junior Secondary School,Ngqeleni,Eastern Cape
Mkunyazo Senior Primary School,Sterkspruit,Eastern Cape
Mkwezo Junior Secondary School,Mthatha,Eastern Cape
Mkwinti Junior Secondary School,Tsomo,Eastern Cape
Mlakalaka Primary School,Zwelitsha,Eastern Cape
Mlambondaba Senior Primary School,Bizana,Eastern Cape
Mlamli Junior Secondary School,Libode,Eastern Cape
Mlatha Senior Primary School,Ngqeleni,Eastern Cape
Mlenze Senior Primary School,Mount Frere,Eastern Cape
Mlindazwe Junior Secondary School,Mbizana,Eastern Cape
Mlondleni Junior Secondary School,Cofimvaba,Eastern Cape
Mlotsana Senior Primary School,Mthatha,Eastern Cape
Mlungisi Junior Secondary School,Cala,Eastern Cape
Mlungisi Public School,Stutterheim,Eastern Cape
Mmangobomvu Junior Secondary School,Tsomo,Eastern Cape
Mmangonkone Junior Secondary School,Tsolo,Eastern Cape
Mmangweni Junior Primary School,Tsolo,Eastern Cape
Mmangweni Junior Secondary School,Bizana,Eastern Cape
Mnama Junior Primary School,Mount Frere,Eastern Cape
Mnandi Junior Secondary School,Idutywa,Eastern Cape
Mnceba Junior Secondary School,Matatiele,Eastern Cape
Mnceba Senior Secondary School,Tabankulu,Eastern Cape
Mncunubeni Junior Secondary School,Sterkspruit,Eastern Cape
Mncwasa Junior Secondary School,Mqanduli,Eastern Cape
Mncwati Junior Secondary School,Bizana,Eastern Cape
Mndela Junior Secondary School,Bizana,Eastern Cape
Mndini Senior Primary School,Mount Frere,Eastern Cape
Mndundu Junior Secondary School,Willowvale,Eastern Cape
Mndwaka Junior Secondary School,Elliotdale,Eastern Cape
Mneketshe Junior Secondary School,Flagstaff,Eastern Cape
Mneliswa Senior Primary School,Flagstaff,Eastern Cape
Mngazana Junior Secondary School,Elliotdale,Eastern Cape
Mngazi Junior Secondary School,Nyandeni,Eastern Cape
Mngcangcathelo Junior Secondary School,Nqamakwe,Eastern Cape
Mngceleni Junior Secondary School,Qumbu,Eastern Cape
Mngcibe Junior Secondary School,Ngqeleni,Eastern Cape
Mngcisane Junior Secondary School,Mount Frere,Eastern Cape
Mngcunube Primary School,Uitenhage,Eastern Cape
Mngeka Junior Secondary School,Idutywa,Eastern Cape
Mngeni Junior Secondary School,Matatiele,Eastern Cape
Mngeni Senior Primary School,Flagstaff,Eastern Cape
Mngqanga Junior Primary School,Cofimvaba,Eastern Cape
Mngqesha Primary School,King Williams Town,Eastern Cape
Mngungu Junior Secondary School,Bizana,Eastern Cape
Mnikina Junior Secondary School,Queenstown,Eastern Cape
Mnikwa Junior Secondary School,Mount Ayliff,Eastern Cape
Mnqaba Primary School,Fort Beaufort,Eastern Cape
Mnqabe Junior Secondary School,Ngqeleni,Eastern Cape
Mnqandanto Junior Secondary School,Tsolo,Eastern Cape
Mnqanqeni Junior Secondary School,Cofimvaba,Eastern Cape
Mnqophiso Primary School,Port Elizabeth,Eastern Cape
Mnqwane Junior Secondary School,Mount Ayliff,Eastern Cape
Mntla Junior Secondary School,Idutywa,Eastern Cape
Mntonintshi Senior Primary School,Qumbu,Eastern Cape
Mntuntloni Junior Secondary School,Engcobo,Eastern Cape
Mntuyedwa Senior Primary School,Butterworth,Eastern Cape
Mntwana Senior Primary School,Mount Frere,Eastern Cape
Mnukwa Senior Secondary School,Maluti,Eastern Cape
Mnxe Junior Secondary School,Cala,Eastern Cape
Mnxekazi Junior Secondary School,Mount Frere,Eastern Cape
Mnxesha Senior Primary School,Dimbaza,Eastern Cape
Mnyaka Junior Secondary School,Kentane,Eastern Cape
Moalosi Primary School,Matatiele,Eastern Cape
Model Private School,Addo,Eastern Cape
Moeaneng Junior Secondary School,Matatiele,Eastern Cape
Mohlakoana Junior Primary School,Matatiele,Eastern Cape
Mohoabatsana Junior Secondary School,Matatiele,Eastern Cape
Moiketsi Graves Senior Secondary School,Matatiele,Eastern Cape
Mokhalong Junior Primary School,Mount Fletcher,Eastern Cape
Mokheseng Senior Secondary School,Maluti,Eastern Cape
Mokhesi Junior Secondary School,Sterkspruit,Eastern Cape
Mokolweni Junior Secondary School,Mthatha,Eastern Cape
Molefe Senior Primary School,Port Elizabeth,Eastern Cape
Moliko Junior Primary School,Matatiele,Eastern Cape
Molisana P,Matatiele,Eastern Cape
Molly Blackburn Senior Secondary School,Uitenhage,Eastern Cape
Molteno H School,Molteno,Eastern Cape
Mombeni Junior Secondary School,Mount Ayliff,Eastern Cape
Mondplaas (D R C ) Primary School,Humansdorp,Eastern Cape
Moni Primary School,King Williams Town,Eastern Cape
Montgomery State Aided,Ugie,Eastern Cape
Monti Junior Secondary School,Bizana,Eastern Cape
Monwabisi Senior Primary School,Sterkspruit,Eastern Cape
Mooifontein Primary School,Gelvandale,Eastern Cape
Mooiplaas Public School,Mooiplaas,Eastern Cape
Moregrove Primary School,Port Elizabeth,Eastern Cape
Moreson Primary School,Paterson,Eastern Cape
Morewag Primary School,Port Elizabeth,Eastern Cape
Morgenster Primary School,Komga,Eastern Cape
Moriting Junior Secondary School,Mount Fletcher,Eastern Cape
Morningside High School,Lintongrange,Eastern Cape
Morningside HS,Port Elizabeth,Eastern Cape
Moroka Junior Secondary School,Mount Fletcher,Eastern Cape
Morrison Pjs School,Idutywa,Eastern Cape
Morriston Primary School,Indwe,Eastern Cape
Mortimer Methodist Primary School,Motirmer,Eastern Cape
Morulane Junior Secondary School,Mount Fletcher,Eastern Cape
Mosa Sibi Senior Secondary School,Matatiele,Eastern Cape
Mosana Junior Secondary School,Matatiele,Eastern Cape
Mosehle Senior Primary School,Matatiele,Eastern Cape
Moses Mabhida High School,East London,Eastern Cape
Moses Mabida Senior Secondary School,Kirkwood,Eastern Cape
Moshesh Senior Secondary School,Matatiele,Eastern Cape
Moshi Junior Secondary School,Engcobo,Eastern Cape
Mosslands Farm School,Grahamstown,Eastern Cape
Motherwell High School,Port Elizabeth,Eastern Cape
Mothibisi Senior Secondary School,Maluti,Eastern Cape
Motlatsi Junior Primary School,Matatiele,Eastern Cape
Mount Arthur Girls High,Ladyfrere,Eastern Cape
Mount Arthur Girls High School,Lady Frere,Eastern Cape
Mount Arthur Junior Secondary School,Ladyfrere,Eastern Cape
Mount Ayliff Junior Secondary School,Mount Ayliff,Eastern Cape
Mount Frere Tyldon School,Mount Frere,Eastern Cape
Mount Hargreaves Senior Secondary School,Matatiele,Eastern Cape
Mount Nicholas Junior Secondary School,Libode,Eastern Cape
Mount Pleasant Primary School,Port Elizabeth,Eastern Cape
Mowa Senior Primary School,Lusikisiki,Eastern Cape
Moyake Junior Secondary School,Libode,Eastern Cape
Moyeni Junior Secondary School,Matatiele,Eastern Cape
Mozweni Junior Secondary & Tech Inst,Idutywa,Eastern Cape
Mpafane Junior Secondary School,Mthatha,Eastern Cape
Mpahleni Junior Secondary School,Nqamakwe,Eastern Cape
Mpakama Junior Secondary School,Elliotdale,Eastern Cape
Mpako Junior Secondary School,Mqanduli,Eastern Cape
Mpamba Junior Secondary School,Mount Frere,Eastern Cape
Mpambani Mzimba Secondary School,Alicedale,Eastern Cape
Mpame Junior Secondary School,Elliotdale,Eastern Cape
Mpandela Junior Secondary School,Mthatha,Eastern Cape
Mpangana Junior Secondary School,Libode,Eastern Cape
Mpantaka Senior Primary School,Qumbu,Eastern Cape
Mpatiswa Senior Primary School,Mthatha,Eastern Cape
Mpeko Junior Secondary School,Mthatha,Eastern Cape
Mpeko Primary School,Peddie,Eastern Cape
Mpeko Senior Secondary School,Mthatha,Eastern Cape
Mpemba Junior Secondary School,Mount Frere,Eastern Cape
Mpendulo Primary School,Peddie,Eastern Cape
Mpendulo Public Primary School,Queenstown,Eastern Cape
Mpenduza Junior Secondary School,Butterworth,Eastern Cape
Mpeni Senior Secondary School,Mount Ayliff,Eastern Cape
Mpenkulu Senior Primary School,Bizana,Eastern Cape
Mpentsa'S Junior Secondary School,Kentani,Eastern Cape
Mpeta Junior Secondary School,Butterworth,Eastern Cape
Mpetsheni Junior Secondary School,Mthatha,Eastern Cape
Mpetshwa Junior Secondary School,Bizana,Eastern Cape
Mphahlalatsane Senior Secondary School,Matatiele,Eastern Cape
Mpharane Junior Secondary School,Matatiele,Eastern Cape
Mphumaze Junior Primary School,Qumbu,Eastern Cape
Mpikeleli Junior Secondary School,Nyandeni,Eastern Cape
Mpikwana Junior Secondary School,Mthatha,Eastern Cape
Mpimbo Junior Secondary School,Ngqeleni,Eastern Cape
Mpindweni Junior Secondary School,Mount Frere,Eastern Cape
Mpindweni Primary School,Maclear,Eastern Cape
Mpindweni Senior Secondary School,Mthatha,Eastern Cape
Mpingana Senior Secondary School,Holycross,Eastern Cape
Mpofini Junior Secondary School,Matatiele,Eastern Cape
Mpoki Primary School,Sterkspruit,Eastern Cape
Mpola Senior Primary School,Mount Frere,Eastern Cape
Mpolosa Senior Primary School,Mount Frere,Eastern Cape
Mpomvane Senior Primary School,Cofimvaba,Eastern Cape
Mpondombini Senior Secondary School,Redoubt,Eastern Cape
Mpongo Primary School,East London,Eastern Cape
Mpotulo Junior Secondary School,Komani,Eastern Cape
Mpotulo Senior Primary School,Tsomo,Eastern Cape
Mpoza Junior Secondary School,Mount Frere,Eastern Cape
Mpozolo Junior Secondary School,Idutywa,Eastern Cape
Mpozolo Senior Secondary School,Willowvale,Eastern Cape
Mpukane Junior Secondary School,Ngqamakwe,Eastern Cape
Mpumalanga Combined School,Nqamakwe,Eastern Cape
Mpumalanga Junior Primary School,Matatiele,Eastern Cape
Mpumaze Junior Secondary School,Flagstaff,Eastern Cape
Mpume Junior Secondary School,Willowvale,Eastern Cape
Mpumelelo Mfundisi Senior Primary School,Burgersdorp,Eastern Cape
Mpumelelo Senior Secondary School,King Williams Town,Eastern Cape
Mpumlo Senior Primary School,Centane,Eastern Cape
Mpumzi High School,Middledrift,Eastern Cape
Mpunga Junior Secondary School,Cofimvaba,Eastern Cape
Mpungutyana Junior Secondary School,Mount Frere,Eastern Cape
Mpunzi Drift Junior Secondary School,Mbizana,Eastern Cape
Mputekane Junior Secondary School,Matatiele,Eastern Cape
Mputi Junior Secondary School,Mthatha,Eastern Cape
Mqabo Pjs School,Engcobo,Eastern Cape
Mqakama Junior Secondary School,Port St Johns,Eastern Cape
Mqambeli Junior Secondary School,Butterworth,Eastern Cape
Mqanduli Junior Secondary School,Mqanduli,Eastern Cape
Mqanduli Village Primary School,Mqanduli,Eastern Cape
Mqatyeni Junior Secondary School,Tsolo,Eastern Cape
Mqekezweni Junior Secondary School,Mount Ayliff,Eastern Cape
Mqele Junior Secondary School,Elliotdale,Eastern Cape
Mqeni Junior Secondary School,Bizana,Eastern Cape
Mqhayi Senior Primary School,Uitenhage,Eastern Cape
Mqhokweni Junior Primary School,Kokstad,Eastern Cape
Mqhokweni Senior Primary School,Mount Ayliff,Eastern Cape
Mqhume Senior Primary School,Holycross,Eastern Cape
Mqikela Junior Primary School,Butterworth,Eastern Cape
Mqikela Senior Secondary School,Lusikisiki,Eastern Cape
Mqobiso Junior Secondary School,Umtata,Eastern Cape
Mqokolweni Junior Secondary School,Mqanduli,Eastern Cape
Mqokolweni Senior Primary School,Libode,Eastern Cape
Mqonci Pjs School,Idutywa,Eastern Cape
Mqotwane Junior Secondary School,Willowvale,Eastern Cape
Mqukwane Primary School,Stmatthews,Eastern Cape
Mqwashu Primary School,Peddie,Eastern Cape
Mrobongwana Primary School,Sterkspruit,Eastern Cape
Mrwabo Junior Secondary School,Matatiele,Eastern Cape
Mrwaqa Junior Secondary School,Butterworth,Eastern Cape
Mseleni Senior Primary School,Libode,Eastern Cape
Msendo Junior Secondary School,Willowvale,Eastern Cape
Msengeni Junior Secondary School,Willowvale,Eastern Cape
Msento Junior Secondary School,Centane,Eastern Cape
Msi Junior Secondary School,Matatiele,Eastern Cape
Msikiti Primary School,Idutywa,Eastern Cape
Msingati Junior Primary School,Engcobo,Eastern Cape
Msintsana Junior Secondary School,Engcobo,Eastern Cape
Msintsini Junior Secondary School,Libode,Eastern Cape
Msobomvu High School,East London,Eastern Cape
Msobomvu Primary School,Cookhouse,Eastern Cape
Msobomvu Senior Primary School,Maclear,Eastern Cape
Msobomvu Senior Secondary School,Butterworth,Eastern Cape
Msolo Junior Secondary School,Nyandeni,Eastern Cape
Msukeni Primary School,Tabankulu,Eastern Cape
Msundulo Primary School,King Williams Town,Eastern Cape
Mswakazi Junior Secondary School,Port St Johns,Eastern Cape
Mt Ayliff Hospital School,Mount Ayliff,Eastern Cape
Mt Ayliff Senior Secondary School,Mount Ayliff,Eastern Cape
Mt Fletcher Village Junior Secondary School,Mount Fletcher,Eastern Cape
Mt Frere Senior Secondary School,Mount Frere,Eastern Cape
Mt Hargreaves Junior Secondary School,Matatiele,Eastern Cape
Mt Horeb Junior Secondary School,Mount Frere,Eastern Cape
Mt Packard Junior Secondary School,Mqanduli,Eastern Cape
Mt White Junior Secondary School,Mount Frere,Eastern Cape
Mt White Senior Secondary School,Mount Frere,Eastern Cape
Mt Zion Junior Secondary School,Bizana,Eastern Cape
Mt Zion Senior Primary School,Matatiele,Eastern Cape
Mtakatye Junior Secondary School,Libode,Eastern Cape
Mtambalala Junior Secondary School,Lusikisiki,Eastern Cape
Mtandeni Senior Primary School,Cofimvaba,Eastern Cape
Mtati Primary School,King Williams Town,Eastern Cape
